original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,4,0.25,0.931133,0.27,0.894614,0.45,0.132783,0.47,0.0847971,0.26705,0.463664,0.196614,,
1,5,0.27,0.916411,0.29,0.862342,0.47,0.112485,0.49,0.0835786,0.27607,0.478638,0.202568,,
1,6,0.27,0.953162,0.29,0.898932,0.47,0.135749,0.49,0.0960961,0.289606,0.488031,0.198425,,
1,7,0.29,0.935045,0.31,0.877805,0.49,0.116636,0.51,0.0946746,0.302245,0.50515,0.202905,,
1,8,0.29,0.949292,0.31,0.898903,0.51,0.107961,0.53,0.0908561,0.309565,0.519308,0.209743,,
1,9,0.31,0.959199,0.33,0.894939,0.51,0.149527,0.53,0.0970275,0.328425,0.528868,0.200443,,
1,10,0.33,0.944858,0.35,0.872581,0.53,0.109863,0.55,0.0975177,0.342413,0.545979,0.203566,,
1,11,0.35,0.921779,0.37,0.872961,0.53,0.136076,0.55,0.0945122,0.358923,0.547359,0.188436,,
1,12,0.35,0.958097,0.37,0.892405,0.55,0.13325,0.57,0.0965228,0.367688,0.568106,0.200418,,
1,13,0.37,0.929022,0.39,0.874388,0.57,0.107165,0.59,0.073185,0.380624,0.574217,0.193593,,
1,14,0.39,0.908944,0.41,0.837489,0.57,0.130881,0.59,0.0982456,0.392503,0.588925,0.196422,,
1,15,0.39,0.935065,0.41,0.875466,0.59,0.123288,0.61,0.0891266,0.401767,0.603634,0.201867,,
1,16,0.41,0.925117,0.43,0.845503,0.61,0.102273,0.63,0.0762016,0.41631,0.611744,0.195434,,
1,17,0.43,0.911111,0.45,0.822951,0.61,0.127871,0.63,0.0868056,0.432521,0.623574,0.191053,,
1,18,0.43,0.935829,0.45,0.875413,0.61,0.145738,0.63,0.0944206,0.441861,0.627826,0.185965,,
1,19,0.45,0.924699,0.47,0.858814,0.63,0.116572,0.65,0.0948905,0.457498,0.645287,0.187789,,
1,20,0.45,0.945809,0.47,0.88949,0.65,0.112583,0.67,0.0864771,0.466268,0.65964,0.193372,,
1,21,0.47,0.94609,0.49,0.874618,0.67,0.107299,0.69,0.0767442,0.482897,0.674778,0.191881,,
1,22,0.49,0.914199,0.51,0.834241,0.69,0.110848,0.71,0.0686767,0.493552,0.695145,0.201593,,
1,23,0.49,0.926791,0.51,0.893148,0.69,0.126829,0.71,0.0887471,0.505927,0.70409,0.198163,,
1,24,0.51,0.923136,0.53,0.848789,0.71,0.106986,0.73,0.0855962,0.516224,0.716532,0.200308,,
